SwB_Wpt_ID,x,y,turn.angle,heading,dist
2013-06-11-N-004,436174.8583,6496515.667,NA,NA,NA
2013-06-12-N-002,434516.4361,6489970.03,NA,NA,NA
2013-06-12-N-007,414319.9667,6521636.498,NA,NA,NA
2013-06-16-S-022,441396.8072,6469776.468,NA,NA,NA
2013-06-16-S-030,441269.0919,6483301.358,NA,NA,NA
2013-06-16-S-048,436401.305,6484588.202,NA,NA,NA
2013-06-16-S-078,449917.9496,6460273.031,NA,NA,NA
2013-06-16-S-081,452000.2189,6463321.66,NA,NA,NA
2013-06-17-N-002,438283.9225,6481838.399,NA,NA,NA
2013-06-17-N-005,437753.4506,6484954.167,NA,NA,NA
2013-06-17-N-034,437439.0675,6486269.09,NA,NA,NA
2013-06-17-N-035,438070.2556,6486319.017,NA,NA,NA
2013-06-18-N-002,437865.7555,6486297.418,NA,NA,NA
2013-06-18-N-021,439338.2172,6500590.542,NA,NA,NA
2013-06-18-N-026,437345.0626,6487406.21,NA,NA,NA
2013-06-18-N-029,439084.4621,6483617.856,NA,NA,NA
2013-06-21-N-007,438377.4704,6482399.711,NA,NA,NA
2013-06-21-N-040,438757.3225,6494260.91,NA,NA,NA
